Timestamp,Key
2025-05-10 22:36:27,t
2025-05-10 22:36:27,e
2025-05-10 22:36:27,s
2025-05-10 22:36:27,t
2025-05-10 22:36:28,i
2025-05-10 22:36:28,n
2025-05-10 22:36:28,g
2025-05-10 22:36:28,Key.space
2025-05-10 22:36:29,l
2025-05-10 22:36:29,o
2025-05-10 22:36:29,g
2025-05-10 22:36:29,Key.space
2025-05-10 22:36:30,e
2025-05-10 22:36:30,Key.backspace
2025-05-10 22:36:31,t
2025-05-10 22:36:31,e
2025-05-10 22:36:31,s
2025-05-10 22:36:31,t
2025-05-10 22:36:32,i
2025-05-10 22:36:32,n
2025-05-10 22:36:32,g
2025-05-10 22:36:32,Key.space
2025-05-10 22:36:32,l
2025-05-10 22:36:32,o
2025-05-10 22:36:33,g
2025-05-10 22:36:35,Key.ctrl
2025-05-10 22:36:35,c
